,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ESCOLA,NO_MUNICIPIO_PROVA,SG_UF_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_REDACAO,Estudo_Pai,Estudo_Mãe,Profissão_Pai,Profissão_Mãe,QT_Pessoas_Moradia,Renda_Familiar,QT_Banheiros,QT_Quartos,QT_Carros,QT_Motos,QT_Geladeira,QT_Celular,QT_Computador,Acesso_Internet
1124,2020,18 anos,M,Branca,1,cursando,Pública,Belo Horizonte,MG,,,,,0,,,D,D,C,C,3.0,B,C,C,B,A,B,D,C,B
4274,2020,21 anos,F,Parda,1,concluiu,Não respondeu,João Pessoa,PB,,,,,1,,,,,,,,,,,,,,,,
5330,2020,17 anos,F,Parda,1,cursando,Pública,São José dos Campos,SP,,,,,0,,,,,,,,,,,,,,,,
6526,2020,Entre 31 e 35 anos,M,Parda,1,concluiu,Não respondeu,São Paulo,SP,,,,,1,,,A,B,F,F,3.0,C,B,C,A,A,B,C,A,B
8117,2020,23 anos,F,Branca,1,concluiu,Não respondeu,João Pessoa,PB,,,,,1,,,F,C,D,D,3.0,B,B,B,A,A,B,C,B,B
9427,2020,17 anos,F,Branca,1,cursando,Pública,Campina Grande,PB,,,,,0,,,D,E,D,B,4.0,B,B,C,B,A,B,D,B,B
11422,2020,25 anos,M,Branca,1,concluiu,Não respondeu,Araçatuba,SP,,,,,0,,,E,E,F,C,2.0,D,C,C,B,B,B,C,B,B
13544,2020,17 anos,F,Parda,1,cursando,Não respondeu,Lagarto,SE,,,,,0,,,B,B,A,A,3.0,B,B,C,A,A,B,B,A,B
18072,2020,Entre 31 e 35 anos,M,Preta,1,concluiu,Não respondeu,Rio de Janeiro,RJ,,,,,0,,,D,E,B,F,1.0,B,B,C,A,A,B,B,B,B
18748,2020,Entre 51 e 55 anos,F,Parda,2,concluiu,Não respondeu,Cruz das Almas,BA,,,,,1,,,A,A,C,B,9.0,A,B,B,A,A,B,A,A,A
23303,2020,18 anos,F,Parda,1,cursando,Pública,Maringá,PR,,,,,0,,,B,C,C,C,4.0,B,B,C,A,A,B,D,A,B
23353,2020,20 anos,M,Branca,1,concluiu,Não respondeu,Belém,PA,,,,,0,,,E,B,C,C,3.0,B,B,C,A,A,B,A,A,B
29798,2020,Entre 31 e 35 anos,F,Parda,1,concluiu,Não respondeu,Santa Izabel do Pará,PA,,,,,1,,,D,F,C,D,4.0,F,B,D,A,B,B,D,A,B
32306,2020,19 anos,F,Amarela,1,cursando,Pública,Campos Sales,CE,,,,,1,,,D,D,A,A,4.0,A,B,A,A,A,B,B,A,A
33333,2020,22 anos,M,Parda,1,concluiu,Não respondeu,Campo Grande,MS,,,,,1,,,,,,,,,,,,,,,,
33450,2020,Entre 26 e 30 anos,F,Parda,1,concluiu,Não respondeu,Aparecida de Goiânia,GO,,,,,1,,,A,E,C,D,3.0,B,C,C,B,A,B,D,B,B
33935,2020,19 anos,M,Parda,1,concluiu,Não respondeu,João Pessoa,PB,,,,,0,,,D,E,D,B,3.0,B,C,C,A,A,B,C,B,A
34538,2020,19 anos,F,Parda,1,concluiu,Não respondeu,Itapajé,CE,,,,,1,,,A,A,A,B,5.0,C,B,D,A,A,B,C,A,B
37327,2020,17 anos,F,Branca,1,cursando,Não respondeu,Itaituba,PA,,,,,0,,,C,G,B,D,4.0,F,B,C,A,B,B,E,B,B
37654,2020,20 anos,F,Parda,1,concluiu,Não respondeu,Belo Horizonte,MG,,,,,1,,,D,D,B,B,3.0,B,B,C,A,B,B,C,A,A
37769,2020,20 anos,F,Parda,1,concluiu,Não respondeu,Juiz de Fora,MG,,,,,0,,,D,E,C,C,3.0,D,B,D,A,A,B,D,A,B
38691,2020,20 anos,M,Parda,1,cursando,Pública,João Pessoa,PB,,,,,0,,,B,D,A,B,2.0,B,B,C,A,A,B,C,C,B
41446,2020,25 anos,F,Parda,1,concluiu,Não respondeu,Crato,CE,,,,,1,,,H,E,F,B,2.0,A,B,C,A,A,B,B,A,B
41819,2020,17 anos,F,Parda,1,cursando,Não respondeu,São Paulo,SP,,,,,0,,,G,F,D,D,3.0,N,B,C,B,A,B,D,B,B
42555,2020,18 anos,F,Parda,1,cursando,Pública,Presidente Dutra,BA,,,,,0,,,C,E,D,D,4.0,B,B,C,A,A,A,A,A,A
42614,2020,18 anos,M,Parda,1,cursando,Pública,Mirassol,SP,,,,,1,,,F,E,F,A,2.0,F,D,D,B,B,B,C,B,B
44576,2020,17 anos,F,Parda,1,cursando,Pública,Colinas do Tocantins,TO,,,,,0,,,C,E,C,D,3.0,B,B,C,A,B,B,D,A,B
46532,2020,20 anos,F,Indígena,1,concluiu,Não respondeu,Rio de Janeiro,RJ,,,,,1,,,H,D,F,B,3.0,A,B,B,A,A,B,B,A,B
47852,2020,17 anos,F,Parda,1,cursando,Privada,Ananindeua,PA,,,,,1,,,D,E,B,D,9.0,B,B,C,A,A,B,B,A,A
49110,2020,22 anos,F,Preta,1,concluiu,Não respondeu,Areia Branca,RN,,,,,1,,,B,C,F,B,3.0,A,B,C,A,A,B,C,A,A
50228,2020,18 anos,F,Parda,1,concluiu,Não respondeu,Montes Claros,MG,,,,,1,,,H,D,A,A,4.0,F,B,D,B,B,B,E,B,B
50768,2020,22 anos,M,Parda,1,concluiu,Não respondeu,Sobral,CE,,,,,0,,,C,D,B,B,4.0,B,B,E,A,B,B,E,B,B
52387,2020,21 anos,M,Branca,1,concluiu,Não respondeu,Vinhedo,SP,,,,,1,,,E,D,F,B,2.0,E,B,C,A,A,B,C,B,B
53081,2020,20 anos,F,Parda,1,concluiu,Não respondeu,Belo Horizonte,MG,,,,,1,,,H,A,F,A,3.0,D,B,C,A,A,B,B,A,A
56169,2020,25 anos,F,Preta,1,concluiu,Não respondeu,Castanhal,PA,,,,,1,,,D,E,C,B,3.0,C,B,B,A,A,B,C,A,B
57202,2020,23 anos,M,Branca,1,concluiu,Não respondeu,Fortaleza,CE,,,,,1,,,H,E,F,C,4.0,C,B,C,A,A,B,D,A,B
57395,2020,Menor de 17 anos,M,Branca,1,cursando,Privada,Patos,PB,,,,,0,,,F,F,D,D,4.0,E,D,D,B,C,B,D,C,B
59205,2020,19 anos,F,Parda,1,cursando,Pública,Santa Cruz,RN,,,,,1,,,E,C,A,B,5.0,B,B,C,A,B,B,B,B,B
60734,2020,18 anos,M,Parda,1,cursando,Pública,Itaperuna,RJ,,,,,0,,,F,E,D,B,4.0,C,B,C,A,A,B,C,A,B
60749,2020,18 anos,M,Parda,1,cursando,Pública,Maceió,AL,,,,,1,,,,,,,,,,,,,,,,
62482,2020,24 anos,F,Parda,1,concluiu,Não respondeu,Ibirité,MG,,,,,0,,,B,C,B,B,4.0,B,B,C,A,A,B,B,B,A
63286,2020,Menor de 17 anos,M,Branca,1,cursando,Não respondeu,Fortaleza,CE,,,,,0,,,E,E,D,D,3.0,G,D,D,B,B,B,D,C,B
64025,2020,22 anos,M,Preta,1,concluiu,Não respondeu,Atibaia,SP,,,,,0,,,C,A,C,B,3.0,D,C,C,B,A,B,C,A,A
65712,2020,18 anos,F,Parda,1,cursando,Pública,Fortaleza,CE,,,,,0,,,E,E,C,B,2.0,B,C,C,A,B,B,C,A,B
69132,2020,17 anos,F,Parda,1,cursando,Pública,São Luís,MA,,,,,1,,,B,C,F,F,6.0,B,B,B,A,A,B,D,B,B
69214,2020,24 anos,F,Branca,1,concluiu,Não respondeu,Ituiutaba,MG,,,,,0,,,D,E,B,C,5.0,C,B,D,B,A,B,D,A,B
69469,2020,18 anos,F,Parda,1,cursando,Pública,Camaçari,BA,,,,,0,,,E,D,D,A,2.0,D,B,C,A,A,B,C,A,B
70070,2020,25 anos,F,Parda,1,concluiu,Não respondeu,Brasília,DF,416.3,,,422.8,1,,,,,,,,,,,,,,,,
75731,2020,21 anos,M,Branca,1,concluiu,Não respondeu,São José do Rio Pardo,SP,,,,,0,,,D,C,C,F,4.0,D,B,C,B,A,B,B,A,B
77584,2020,19 anos,F,Preta,1,cursando,Não respondeu,João Pessoa,PB,,,,,0,,,B,C,B,B,4.0,B,B,C,A,A,B,C,A,A
78661,2020,17 anos,F,Parda,1,cursando,Pública,Camaçari,BA,,,,,1,,,H,F,F,D,5.0,E,C,C,A,A,B,D,A,B
