,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,NO_MUNICIPIO_PROVA,SG_UF_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_REDACAO,Estudo_Pai,Estudo_Mãe,Profissão_Pai,Profissão_Mãe,QT_Pessoas_Moradia,Renda_Familiar,QT_Banheiros,QT_Quartos,QT_Carros,QT_Motos,QT_Geladeira,QT_Celular,QT_Computador,Acesso_Internet
1022,2021,Entre 31 e 35 anos,F,Parda,1,cursando,0,Pública,Uruoca,CE,419.8,,,491.0,0,,,A,A,A,A,4.0,B,B,C,A,B,B,C,A,B
1985,2021,Entre 26 e 30 anos,F,Parda,1,concluiu,8,Não respondeu,Rio de Janeiro,RJ,,,,,1,,,C,B,A,B,4.0,C,B,C,A,A,B,B,B,B
2547,2021,17 anos,M,Parda,1,cursando,0,Pública,Jiquiriçá,BA,,,,,1,,,D,E,A,A,3.0,C,D,C,B,B,B,B,B,A
3409,2021,18 anos,F,Parda,1,cursando,0,Pública,Pedro Leopoldo,MG,,,,,0,,,E,E,C,F,3.0,G,C,D,B,B,B,D,C,B
4539,2021,24 anos,F,Preta,1,concluiu,6,Não respondeu,Milagres,CE,,,,,1,,,D,B,A,A,5.0,A,B,B,A,A,B,B,A,A
4573,2021,Entre 61 e 65 anos,F,Branca,1,concluiu,15,Não respondeu,Jaboatão dos Guararapes,PE,431.4,,,440.6,1,,,D,B,B,B,1.0,A,B,B,A,A,B,B,A,B
5358,2021,18 anos,M,Parda,1,cursando,0,Pública,Rio de Janeiro,RJ,549.0,,,453.2,1,,,A,B,B,B,2.0,B,B,B,A,A,B,B,A,B
5949,2021,19 anos,F,Branca,1,cursando,0,Pública,Barra da Estiva,BA,,,,,0,,,G,G,E,D,3.0,G,C,C,A,A,B,D,C,B
7441,2021,19 anos,F,Parda,2,concluiu,1,Não respondeu,Açailândia,MA,,,,,0,,,D,E,F,D,3.0,D,B,C,A,A,B,C,A,B
7735,2021,18 anos,M,Parda,1,cursando,0,Pública,Autazes,AM,,,,,0,,,D,C,B,B,7.0,C,B,C,A,A,B,D,A,A
14305,2021,22 anos,M,Preta,1,concluiu,0,Não respondeu,Salvador,BA,,,,,0,,,A,E,A,B,4.0,C,B,C,A,A,B,C,A,B
14728,2021,17 anos,M,Parda,1,cursando,0,Pública,Itapajé,CE,494.6,,,472.6,1,,,C,C,B,B,4.0,B,B,B,A,A,B,B,A,A
14832,2021,17 anos,M,Branca,1,cursando,0,Pública,Aparecida de Goiânia,GO,,,,,0,,,E,G,C,D,6.0,N,E,E,C,A,B,E,C,B
14882,2021,18 anos,F,Preta,1,cursando,0,Pública,Limoeiro do Norte,CE,,,,,1,,,B,E,A,C,4.0,B,B,C,A,B,B,C,A,B
15733,2021,17 anos,M,Parda,1,cursando,0,Pública,Rio de Janeiro,RJ,503.6,,,640.9,0,,,E,F,B,A,6.0,D,B,B,C,A,B,E,B,B
19185,2021,Entre 31 e 35 anos,M,Preta,1,concluiu,15,Não respondeu,Serrana,SP,,,,,1,,,A,A,A,A,5.0,E,B,D,B,A,B,D,B,B
19204,2021,18 anos,F,Branca,1,cursando,0,Pública,Goiânia,GO,413.7,,,403.6,0,,,E,E,B,C,5.0,B,C,D,B,A,C,E,B,B
19361,2021,18 anos,M,Parda,1,cursando,0,Pública,Caldas Novas,GO,416.2,,,566.6,0,,,E,E,F,F,4.0,E,C,D,C,A,B,E,B,B
19424,2021,19 anos,M,Parda,1,concluiu,2,Não respondeu,Santa Rosa de Viterbo,SP,,,,,1,,,D,F,D,B,3.0,B,B,C,A,A,B,B,A,A
19515,2021,17 anos,F,Parda,1,cursando,0,Pública,Belém,PA,,,,,0,,,D,D,C,B,4.0,C,B,C,A,A,B,C,A,B
20302,2021,23 anos,M,Parda,4,concluiu,0,Não respondeu,Campina Grande,PB,,,,,0,,,B,D,C,C,5.0,C,B,C,B,A,B,B,B,B
20411,2021,18 anos,F,Branca,1,cursando,0,Pública,Arapiraca,AL,,,,,1,,,C,B,A,A,3.0,C,B,C,A,A,B,B,A,B
20668,2021,19 anos,F,Branca,1,concluiu,2,Não respondeu,Varginha,MG,,,,,0,,,F,E,E,D,5.0,H,C,D,B,A,B,E,D,B
20802,2021,19 anos,F,Branca,1,cursando,0,Pública,Três Lagoas,MS,,,,,0,,,F,F,C,B,4.0,G,D,C,B,A,B,D,D,B
21162,2021,18 anos,F,Branca,1,cursando,0,Pública,Luís Gomes,RN,,,,,1,,,D,D,A,A,3.0,C,B,C,A,A,B,D,A,B
23072,2021,20 anos,M,Preta,1,concluiu,2,Não respondeu,Teresina,PI,,,,,0,,,B,E,C,B,4.0,C,C,D,B,C,B,D,A,B
26050,2021,24 anos,M,Parda,1,concluiu,6,Não respondeu,São Paulo,SP,,,,,0,,,H,C,F,B,3.0,F,B,B,A,A,B,D,B,B
27759,2021,17 anos,F,Branca,2,cursando,0,Pública,Confresa,MT,,,,,0,,,F,F,B,D,4.0,F,B,C,B,B,B,E,A,B
28229,2021,17 anos,F,Parda,1,cursando,0,Pública,Paulista,PE,,,,,0,,,C,D,C,B,4.0,D,B,C,A,A,B,D,A,B
28423,2021,Entre 26 e 30 anos,M,Preta,1,concluiu,9,Não respondeu,Amargosa,BA,,,,,0,,,C,E,A,C,7.0,B,B,D,A,A,B,C,B,B
28691,2021,Entre 26 e 30 anos,F,Branca,1,concluiu,11,Não respondeu,Mossoró,RN,,,,,1,,,E,E,B,D,3.0,F,C,C,B,A,B,C,A,B
28786,2021,17 anos,F,Branca,1,cursando,0,Pública,Goiânia,GO,,,,,1,,,G,E,D,B,5.0,J,C,C,B,A,B,E,B,B
29408,2021,22 anos,F,Parda,1,concluiu,0,Não respondeu,São Luís,MA,,,,,1,,,H,E,F,A,5.0,B,B,D,A,A,B,D,B,B
29470,2021,Entre 31 e 35 anos,M,Preta,1,concluiu,14,Não respondeu,Goiânia,GO,,,,,1,,,B,B,C,C,4.0,B,B,D,A,A,B,E,A,B
